Nifty_50,Nifty_next,Nifty_midcap,Nifty_smallcap,Nifty_bank,Nifty_finance,Nifty_psu_bank,Nifty_IT,Nifty_auto,Nifty_metal,Nifty_pharma
HCLTECH,ADANIGREEN,ZEEL,COCHINSHIP,ICICIBANK,ICICIBANK,UNIONBANK,HCLTECH,MOTHERSON,ADANIENT,GLAXO
ADANIENT,TRENT,PAGEIND,TANLA,INDUSINDBK,SBICARD,INDIANB,LTTS,TATAMOTORS,WELCORP,CIPLA
CIPLA,MCDOWELL-N,VOLTAS,WELSPUNLIV,HDFCBANK,SBILIFE,BANKBARODA,TECHM,TIINDIA,APLAPOLLO,IPCALAB
ADANIPORTS,INDIGO,CUMMINSIND,NLCINDIA,KOTAKBANK,HDFCLIFE,SBIN,LTIM,MARUTI,RATNAMANI,PFIZER
ICICIBANK,NAUKRI,POLYCAB,GRAPHITE,BANKBARODA,HDFCBANK,CENTRALBK,TCS,HEROMOTOCO,JSWSTEEL,LUPIN
SBILIFE,TATAPOWER,PETRONET,CENTURYTEX,AUBANK,KOTAKBANK,IOB,WIPRO,M&M,TATASTEEL,SANOFI
INDUSINDBK,BERGEPAINT,ESCORTS,AMBER,SBIN,ICICIPRULI,PNB,COFORGE,BHARATFORG,JINDALSTEL,TORNTPHARM
TCS,SBICARD,LUPIN,CAMPUS,FEDERALBNK,IEX,CANBK,PERSISTENT,BOSCHLTD,VEDL,ABBOTINDIA
RELIANCE,LICI,ABBOTINDIA,BSOFT,IDFCFIRSTB,SBIN,MAHABANK,MPHASIS,TVSMOTOR,HINDALCO,BIOCON
TECHM,MOTHERSON,INDUSTOWER,AEGISCHEM,AXISBANK,LICHSGFIN,BANKINDIA,INFY,BALKRISIND,HINDZINC,DRREDDY
ASIANPAINT,TORNTPHARM,LTTS,DATAPATTNS,PNB,BAJFINANCE,UCOBANK,,BAJAJ-AUTO,NATIONALUM,SUNPHARMA
HDFCLIFE,ADANIENSOL,BIOCON,KARURVYSYA,BANDHANBNK,ICICIGI,PSB,,MRF,JSL,NATCOPHARM
TATASTEEL,BAJAJHLDNG,PERSISTENT,JUBLINGREA,,SHRIRAMFIN,,,EICHERMOT,SAIL,GLENMARK
JSWSTEEL,PIIND,COFORGE,RAYMOND,,AXISBANK,,,ASHOKLEY,HINDCOPPER,AUROPHARMA
HDFCBANK,DMART,BATAINDIA,AAVAS,,HDFCAMC,,,SONACOMS,NMDC,ALKEM
TITAN,MARICO,ACC,BLS,,BAJAJFINSV,,,,,GRANULES
BHARTIARTL,ATGL,UBL,NBCC,,MUTHOOTFIN,,,,,ZYDUSLIFE
NESTLEIND,PIDILITIND,FEDERALBNK,GNFC,,CHOLAFIN,,,,,LAURUSLABS
HEROMOTOCO,DABUR,BHARATFORG,SONATSOFTW,,PFC,,,,,GLAND
WIPRO,JINDALSTEL,BALKRISIND,CIEINDIA,,RECLTD,,,,,DIVISLAB
M&M,ICICIPRULI,ASTRAL,UTIAMC,,,,,,,
TATAMOTORS,HAVELLS,LICHSGFIN,PRAJIND,,,,,,,
LTIM,BANKBARODA,MRF,MRPL,,,,,,,
GRASIM,VEDL,INDHOTEL,MEDPLUS,,,,,,,
KOTAKBANK,HAL,SAIL,ZENSARTECH,,,,,,,
POWERGRID,AMBUJACEM,IDFCFIRSTB,JBMA,,,,,,,
DRREDDY,ABB,ABCAPITAL,RADICO,,,,,,,
HINDUNILVR,AWL,HDFCAMC,IIFL,,,,,,,
HINDALCO,SIEMENS,OFSS,IRB,,,,,,,
MARUTI,TVSMOTOR,GUJGASLTD,BIKAJI,,,,,,,
TATACONSUM,BEL,JUBLFOOD,PPLPHARMA,,,,,,,
BAJAJ-AUTO,BOSCHLTD,AUBANK,AFFLE,,,,,,,
SUNPHARMA,SHRIRAMFIN,MPHASIS,RENUKA,,,,,,,
UPL,SRF,DALBHARAT,EXIDEIND,,,,,,,
SBIN,PGHH,AUROPHARMA,FSL,,,,,,,
BAJFINANCE,ZOMATO,TATACOMM,ROUTE,,,,,,,
APOLLOHOSP,ICICIGI,OBEROIRLTY,CAMS,,,,,,,
LT,IRCTC,ALKEM,EQUITASBNK,,,,,,,
ITC,DLF,ASHOKLEY,RBLBANK,,,,,,,
INFY,CANBK,CONCOR,HAPPSTMNDS,,,,,,,
BRITANNIA,PNB,MFSL,LXCHEM,,,,,,,
AXISBANK,GAIL,PFC,NATIONALUM,,,,,,,
BAJAJFINSV,MUTHOOTFIN,BANDHANBNK,RITES,,,,,,,
EICHERMOT,VBL,IDEA,CREDITACC,,,,,,,
DIVISLAB,CHOLAFIN,M&MFIN,CHAMBLFERT,,,,,,,
ULTRACEMCO,IOC,HINDPETRO,JKLAKSHMI,,,,,,,
COALINDIA,SHREECEM,GODREJPROP,SUZLON,,,,,,,
BPCL,COLPAL,RECLTD,NATCOPHARM,,,,,,,
ONGC,ZYDUSLIFE,IGL,KRBL,,,,,,,
NTPC,GODREJCP,NMDC,ARE&M,,,,,,,
,,,JBCHEPHARM,,,,,,,
,,,BIRLACORPN,,,,,,,
,,,ELGIEQUIP,,,,,,,
,,,KEC,,,,,,,
,,,CENTRALBK,,,,,,,
,,,MEDANTA,,,,,,,
,,,MCX,,,,,,,
,,,FINCABLES,,,,,,,
,,,KALYANKJIL,,,,,,,
,,,IEX,,,,,,,
,,,ANGELONE,,,,,,,
,,,TRITURBINE,,,,,,,
,,,TEJASNET,,,,,,,
,,,IOB,,,,,,,
,,,DEEPAKFERT,,,,,,,
,,,CEATLTD,,,,,,,
,,,IDBI,,,,,,,
,,,UCOBANK,,,,,,,
,,,LATENTVIEW,,,,,,,
,,,SJVN,,,,,,,
,,,PNBHOUSING,,,,,,,
,,,BALAMINES,,,,,,,
,,,GLENMARK,,,,,,,
,,,CDSL,,,,,,,
,,,KEI,,,,,,,
,,,INDIAMART,,,,,,,
,,,VIPIND,,,,,,,
,,,BSE,,,,,,,
,,,CESC,,,,,,,
,,,MGL,,,,,,,
,,,CYIENT,,,,,,,
,,,GRANULES,,,,,,,
,,,REDINGTON,,,,,,,
,,,PVRINOX,,,,,,,
,,,TTML,,,,,,,
,,,BALRAMCHIN,,,,,,,
,,,INTELLECT,,,,,,,
,,,HUDCO,,,,,,,
,,,JYOTHYLAB,,,,,,,
,,,IDFC,,,,,,,
,,,CANFINHOME,,,,,,,
,,,HFCL,,,,,,,
,,,CUB,,,,,,,
,,,HINDCOPPER,,,,,,,
,,,NSLNISP,,,,,,,
,,,APARINDS,,,,,,,
,,,EASEMYTRIP,,,,,,,
,,,METROPOLIS,,,,,,,
,,,MANAPPURAM,,,,,,,
,,,ANURAS,,,,,,,
